,importance
casp,0.3085480146178097
bmi,0.1594451949755872
age,0.15260896683950562
sphus,0.10987953028284504
eduyears_mod,0.08140044789944063
recall_1,0.05714997362650648
chronic_mod,0.04102122377837143
hhsize,0.025131190930859075
mobilityind,0.018354781933292624
adla,0.013504425570626512
grossmotor,0.011798562009280445
partnerinhh,0.010698603446894592
smoking,0.01045908408898053
