,importance
casp,0.5947931607428207
sphus,0.2552875797962651
adla,0.03019417829745131
mobilityind,0.027425025999647766
grossmotor,0.02198625355087054
bmi,0.016705145274169712
age,0.01625212336015525
partnerinhh,0.011306396742446668
recall_1,0.01006565060363158
eduyears_mod,0.007841625357076052
chronic_mod,0.00618300189856592
hhsize,0.0015179377049134887
smoking,0.0004419206719858938
